                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.41454,                0.38716,                0.56755,                   0.77,                0.83611,                0.82206,                0.91452,                0.82128,                0.83611,                0.82206,                0.91385,                 0.5799,                0.39039,                0.36302,                0.60336,                0.77103,               0.001109,               0.001109,               0.001109
                     48,                0.43241,                0.39211,                0.57402,                0.77154,                0.84562,                0.80749,                0.91712,                0.82342,                0.84453,                0.80645,                0.91406,                0.57461,                 0.3889,                0.37765,                0.58837,                0.77103,              0.0010892,              0.0010892,              0.0010892
                     49,                0.41762,                 0.4026,                0.55765,                0.77118,                0.83742,                 0.8308,                0.91817,                0.82405,                0.83632,                0.82941,                0.91725,                0.57346,                0.37472,                0.34602,                0.57734,                0.77097,              0.0010694,              0.0010694,              0.0010694
                     50,                0.41886,                0.38938,                0.56911,                0.77195,                0.84952,                0.81653,                0.91806,                0.82528,                0.84952,                0.81653,                0.91697,                0.57158,                0.37127,                0.34485,                0.58056,                0.77243,              0.0010496,              0.0010496,              0.0010496
                     51,                0.40923,                0.39715,                 0.5534,                0.77126,                0.84907,                0.80786,                0.91768,                0.83154,                0.84907,                0.80786,                0.91731,                0.59181,                0.36731,                0.36821,                 0.5676,                0.77155,              0.0010298,              0.0010298,              0.0010298
                     52,                0.41669,                0.38394,                0.56421,                0.76852,                0.84849,                0.81374,                0.91945,                0.82851,                0.84849,                0.81374,                0.91906,                0.59325,                0.36909,                0.36496,                0.57395,                 0.7715,                0.00101,                0.00101,                0.00101
                     53,                0.40664,                 0.3798,                0.56452,                0.76963,                0.82194,                0.82518,                0.91655,                0.82766,                0.82194,                0.82518,                0.91613,                0.56669,                0.36511,                0.35199,                0.57528,                0.77181,              0.0009902,              0.0009902,              0.0009902
                     54,                0.40442,                0.37807,                0.54927,                0.77177,                0.83809,                 0.8127,                0.91395,                0.81959,                0.83809,                 0.8127,                0.91304,                0.55162,                0.36983,                0.36345,                0.58791,                0.77073,              0.0009704,              0.0009704,              0.0009704
                     55,                0.41574,                0.38005,                0.55874,                0.77038,                0.84236,                 0.8179,                0.91997,                0.82754,                0.84236,                 0.8179,                0.91954,                0.55841,                0.37448,                 0.3549,                 0.5723,                0.77066,              0.0009506,              0.0009506,              0.0009506
                     56,                0.39799,                0.37778,                0.54721,                0.77137,                0.86619,                0.79813,                0.91902,                0.82857,                0.86619,                0.79813,                 0.9186,                0.57165,                0.37717,                0.37567,                0.57283,                0.77123,              0.0009308,              0.0009308,              0.0009308
                     57,                0.40261,                0.37433,                0.54436,                0.77124,                0.85656,                0.80784,                0.92005,                0.83436,                0.85656,                0.80784,                 0.9197,                0.59115,                0.35668,                0.35368,                0.56721,                0.76954,               0.000911,               0.000911,               0.000911
                     58,                 0.4064,                0.37882,                0.56903,                0.76847,                0.82845,                0.81911,                 0.9171,                 0.8309,                0.82635,                0.81703,                0.91298,                0.56758,                 0.3661,                0.35923,                0.58145,                0.76937,              0.0008912,              0.0008912,              0.0008912
                     59,                0.39987,                0.36873,                0.54789,                0.77128,                 0.8517,                0.80229,                0.91798,                0.82646,                0.84949,                0.80021,                0.91389,                0.56379,                0.36289,                0.35208,                0.57305,                0.76939,              0.0008714,              0.0008714,              0.0008714
                     60,                0.39578,                0.37433,                0.54183,                0.77128,                0.82142,                0.83559,                0.92004,                0.83105,                0.82142,                0.83559,                0.91973,                 0.5756,                0.36626,                0.36436,                0.58077,                0.76964,              0.0008516,              0.0008516,              0.0008516
                     61,                0.38749,                0.37002,                 0.5407,                0.76789,                0.83477,                0.82011,                0.92015,                0.83024,                0.83477,                0.82011,                0.91918,                0.56274,                0.34618,                0.35889,                0.55486,                0.77019,              0.0008318,              0.0008318,              0.0008318
                     62,                0.39316,                0.36782,                0.54417,                0.77102,                0.84312,                0.81894,                0.92092,                0.82968,                0.84312,                0.81894,                0.92013,                0.59421,                 0.3594,                0.34245,                0.58291,                 0.7692,               0.000812,               0.000812,               0.000812
                     63,                0.39429,                0.36617,                 0.5467,                0.77036,                0.87076,                0.79605,                0.91942,                 0.8326,                0.87076,                0.79605,                0.91864,                0.58947,                 0.3474,                0.37663,                0.56602,                0.76955,              0.0007922,              0.0007922,              0.0007922
                     64,                 0.3868,                0.36765,                0.53631,                0.76901,                0.83041,                0.81686,                0.91503,                0.82521,                0.83047,                0.81561,                0.91386,                0.57603,                0.34812,                0.35049,                0.56492,                0.76923,              0.0007724,              0.0007724,              0.0007724
